title,total_sales,Publisher,Developer,Platform,Japan_sales,Na_sales,Other_sales,Pal_sales
Need for Speed Underground Rivals,1.32,Electronic Arts,Team Fusion,Play Station,0.02,0.69,0.24,0.38
TOCA 2 Touring Car Championship,1.32,Codemasters,Codemasters,Play Station ,0.02,0.03,0.11,1.16
MAG: Massive Action Game,1.32,Sony Computer Entertainment,Zipper Interactive,Play Station ,0.09,0.77,0.16,0.3
Rage,1.32,Bethesda Softworks,id Software,Play Station ,0.06,0.47,0.2,0.59
Lego Star Wars: The Force Awakens,1.31,Warner Bros. Interactive Entertainment,TT Fusion,Play Station ,0.02,0.3,0.2,0.78
NBA Live 07,1.3,EA Sports,EA Canada,Play Station ,0.02,1.07,0.17,0.04
Assassin's Creed: Rogue,1.3,Ubisoft,Ubisoft Sofia,Play Station ,0.07,0.46,0.2,0.57
Digimon World,1.3,Bandai,Bandai,Play Station ,0.28,0.56,0.08,0.38
High School Musical 3: Senior Year DANCE!,1.29,Disney Interactive Studios,Page 44 Studios,Wii,0,0.67,0.13,0.49
The Last Guardian,1.29,Sony Interactive Entertainment,SIE Japan Studio,Play Station ,0.13,0.4,0.19,0.58
Mega Man Battle Network 3 Blue / White Version,1.29,Capcom,Capcom,GBA,0.85,0.39,0.03,0.02
Watch Dogs,1.29,Ubisoft,Ubisoft Montreal,X box,0.01,0.73,0.11,0.44
Dark Souls II,1.29,Namco Bandai Games,From Software,Play Station ,0.41,0.38,0.15,0.35
Gold's Gym: Cardio Workout,1.29,Ubisoft,Rocket Company,Wii,0.06,1.1,0.09,0.04
BorderlanNintendo: The HanNintendoome Collection,1.28,2K Games,Gearbox Software,Play Station ,0.03,0.69,0.22,0.34
Project CARS,1.28,Bandai Namco Games,Slightly Mad Studios,Play Station ,0.04,0.29,0.19,0.76
Need for Speed Carbon,1.28,Electronic Arts,EA Black Box,Wii,0.02,0.45,0.15,0.66
Injustice: GoNintendo Among Us,1.28,Warner Bros. Interactive Entertainment,NetherRealm Studios,Play Station ,0.01,0.5,0.21,0.56
Castlevania: Symphony of the Night,1.27,Konami,Konami Computer Entertainment Tokyo,Play Station ,0.21,0.58,0.08,0.4
WWE '12,1.27,THQ,"Yuke's Co., Ltd.",X box,0,0.74,0.12,0.4
.hack//Infection Part 1,1.27,Bandai,CyberConnect2,Play Station ,0.26,0.49,0.13,0.38
Need for Speed Rivals,1.27,Electronic Arts,Ghost Games,Play Station ,0.05,0.33,0.19,0.69
Battle Arena Toshinden,1.27,Sony Computer Entertainment,Tamsoft,Play Station ,0.53,0.39,0.08,0.26
Devil Dice,1.26,THQ,Shift,Play Station ,1.1,0.05,0.08,0.03
Brian Lara Cricket,1.26,Codemasters,Codemasters,Play Station ,0.01,0.02,0.1,1.13
Tomb Raider: Underworld,1.26,Eidos Interactive,Crystal Dynamics,Play Station ,0.05,0.45,0.21,0.55
SOCOM: U.S. Navy SEALs Confrontation,1.26,Sony Computer Entertainment,Slant Six Games,Play Station ,0.02,0.94,0.14,0.17
Far Cry 4,1.26,Ubisoft,Ubisoft Montreal,Play Station ,0.09,0.35,0.19,0.63
Assassin's Creed: Bloodlines,1.26,Ubisoft,Griptonite Studio,Play Station,0.05,0.43,0.28,0.5
Star Wars: The Force Unleashed,1.25,LucasArts,Krome Studios,Play Station ,0.01,0.49,0.75,0
Reel Fishing,1.25,Natsume,Pack-In Video,Play Station ,0.1,0.99,0.04,0.13
Need for Speed: Most Wanted,1.25,Electronic Arts,Electronic Arts,X box,0.02,1,0.1,0.13
Tom Clancy's Rainbow Six: Vegas,1.25,Ubisoft,Ubisoft,Play Station ,0.03,0.47,0.22,0.53
Black,1.25,Electronic Arts,Criterion Games,Play Station ,0.03,1.01,0.16,0.04
Cars 2,1.25,Disney Interactive Studios,Avalanche Software,Nintendo,0.04,0.68,0.12,0.41
Ridge Racer V,1.24,Namco,Namco,Play Station ,0.75,0.24,0.06,0.19
Battlefield: Hardline,1.24,Electronic Arts,EA DICE,X box,0.01,0.73,0.11,0.39
Need for Speed Carbon,1.24,Electronic Arts,EA Black Box,Play Station ,0.03,0.49,0.2,0.51
2010 FIFA World Cup South Africa,1.23,EA Sports,EA Canada,Play Station ,0.07,0.3,0.22,0.64
Castlevania,1.23,Konami,Konami,Nintendo,0.62,0.54,0.01,0.06
Donkey Kong Country 2,1.23,Nintendo,Rare Ltd.,GBA,0.12,0.79,0.04,0.27
Star Wars Battlefront II,1.22,LucasArts,Savage Entertainment,Play Station,0.01,1.05,0.1,0.06
Intelligent Qube,1.22,Sony Computer Entertainment,Sony Computer Entertainment,Play Station ,1,0.13,0.02,0.07
Pac-Man,1.22,Namco,Namco,Nintendo,0.85,0.27,0.02,0.08
Parfait: Chocolat Second Style,1.22,Alchemist,Alchemist,Play Station ,0.01,0.59,0.15,0.46
NBA 2K2,1.22,Sega,Visual Concepts,Play Station ,0.01,0.59,0.15,0.46
Medal of Honor: Airborne,1.21,Electronic Arts,EA Los Angeles,Play Station ,0.03,0.25,0.24,0.7
Bayonetta,1.21,Sega,PlatinumGames,Play Station ,0.21,0.44,0.16,0.4
Star Wars Episode 1: Jedi Power Battles,1.21,LucasArts,LucasArts,Play Station ,0.01,0.66,0.06,0.48
Need for Speed Underground,1.21,Electronic Arts,EA Black Box,GC,0.01,0.69,0.03,0.48
FIFA Soccer 11,1.21,EA Sports,HB Studios,Play Station,0.01,0.13,0.36,0.7
F1 2011,1.2,Codemasters,Codemasters Birmingham,Play Station ,0.11,0.12,0.23,0.75
Metal Gear Solid V: Ground Zeroes,1.2,Konami Digital Entertainment,Kojima Productions,Play Station ,0.17,0.36,0.17,0.5
Mad Max (2013),1.2,Warner Bros. Interactive Entertainment,Avalanche Studios,Play Station ,0.05,0.38,0.19,0.59
Enter the Matrix,1.2,Atari,Shiny Entertainment,X box,0.01,0.72,0.04,0.43
Shadow of the Colossus,1.2,Sony Interactive Entertainment,Bluepoint Games,Play Station ,0.05,0.44,0.19,0.52
Mario & Sonic at the London 2012 Olympic Games,1.19,Sega,Sega,Nintendo,0.27,0.18,0.08,0.66
Pro Evolution Soccer 2008,1.19,Konami,Konami,Wii,0.11,0.09,0.15,0.84
Metal Gear Solid: Portable Ops,1.19,Konami,Kojima Productions,Play Station,0.38,0.38,0.09,0.35
Spider-Man: The Movie,1.19,Activision,Treyarch,GC,0.01,0.86,0.04,0.27
Resident Evil: Operation Raccoon City,1.18,Capcom,Slant Six Games,Play Station ,0.36,0.48,0.1,0.24
LEGO Jurassic World,1.18,Warner Bros. Interactive Entertainment,Traveller's Tales,Play Station ,0.02,0.41,0.19,0.56
Medal of Honor: Warfighter,1.18,Electronic Arts,Danger Close Games,X box,0.01,0.61,0.1,0.46
Red Dead Redemption: Undead Nightmare,1.18,Rockstar Games,Rockstar San Diego,Play Station ,0.06,0.47,0.19,0.45
WWE '12,1.18,THQ,"Yuke's Co., Ltd.",Play Station ,0.02,0.53,0.17,0.45
Mission: Impossible,1.17,Ocean,Infogrames,Nintendo,0.02,0.74,0.03,0.38
WWE SmackDown vs. Raw 2010,1.17,THQ,JAKKS Pacific,Play Station ,0.01,0.48,0.19,0.48
Army of Two,1.17,Electronic Arts,EA Montreal,Play Station ,0.02,0.74,0.15,0.26
Rage Racer,1.17,Namco,Namco,Play Station ,0.83,0.16,0.08,0.11
Sunset Overdrive,1.16,Microsoft Studios,Insomniac Games,X box,0,0.64,0.1,0.42
Bushido Blade,1.16,Sony Computer Entertainment,Light Weight,Play Station ,0.43,0.39,0.08,0.27
Mirror's Edge,1.16,Electronic Arts,EA Digital Illusions CE,X box,0.01,0.51,0.12,0.51
Sega Rally Championship,1.16,Sega,Sega-AM3,SAT,0.77,0.21,0.02,0.16
Medal of Honor Heroes 2,1.16,Electronic Arts,Team Fusion,Play Station,0.02,0.5,0.25,0.39
FIFA Soccer 10,1.16,EA Sports,EA Canada,Play Station,0.01,0.16,0.31,0.68
The Elder Scrolls V: Skyrim,1.15,Bethesda Softworks,Bethesda Softworks,Nintendo,0.06,0.67,0.1,0.32
Dragon Quest VIII: Journey of the Cursed King,1.15,Nintendo,Level 5 / Armor Project,Nintendo,0.88,0.14,0.02,0.11
Ratchet & Clank: All 4 One,1.15,Sony Computer Entertainment,Insomniac Games,Play Station ,0.05,0.75,0.13,0.22
007: Quantum of Solace,1.14,Activision,Treyarch,Play Station ,0.02,0.43,0.19,0.51
Tenchu: Wrath of Heaven,1.14,Activision,K2 LLC,Play Station ,0.25,0.44,0.11,0.34
Shadow of the Colossus,1.14,Sony Computer Entertainment,Team ICO,Play Station ,0.2,0.78,0.13,0.03
Brave Fencer Musashi,1.14,Square,SquareSoft,Play Station ,0.65,0.25,0.07,0.17
Hot Shots Golf: Out of BounNintendo,1.14,Sony Computer Entertainment,Clap Hanz,Play Station ,0.76,0.31,0.04,0.03
Final Fantasy XV,1.14,Square Enix,Square Enix,X box,0.01,0.72,0.11,0.3
LEGO WorlNintendo,1.14,Warner Bros. Interactive Entertainment,Traveller's Tales,Play Station ,0.04,0.21,0.17,0.72
Mobile Suit Gundam: Federation vs. Zeon,1.14,Bandai,Bandai,Play Station ,0.88,0.12,0.03,0.1
Need for Speed Underground 2,1.14,Electronic Arts,EA Black Box,GC,0.01,0.7,0.03,0.39
Mirror's Edge,1.13,Electronic Arts,EA Digital Illusions CE,Play Station ,0.02,0.31,0.21,0.59
Rocksmith,1.13,Ubisoft,Ubisoft,X box,0.01,0.85,0.08,0.19
Plants vs Zombies: Garden Warfare,1.13,Electronic Arts,PopCap Games,X box,0,0.54,0.09,0.5
The Elder Scrolls V: Skyrim VR,1.13,Bethesda Softworks,Bethesda Softworks,Play Station ,0.01,0.47,0.19,0.47
Rocksmith,1.13,Ubisoft,Ubisoft,Play Station ,0.09,0.53,0.13,0.38
ModNation Racers,1.13,Sony Computer Entertainment,United Front Games,Play Station ,0.06,0.5,0.16,0.4
SOCOM: U.S. Navy SEALs Fireteam Bravo,1.12,Sony Computer Entertainment,Zipper Interactive,Play Station,0.01,1.03,0.08,0
Need for Speed: Most Wanted (2012),1.12,Electronic Arts,Criterion Games,Play Station,0.01,0.33,0.25,0.53
Dragon Age II,1.12,Electronic Arts,BioWare Corp.,X box,0.01,0.72,0.09,0.29
Crackdown 2,1.12,Microsoft Game Studios,Ruffian Games,X box,0.02,0.63,0.1,0.36
Crash Bandicoot N. Sane Trilogy,1.11,Activision,Toys for Bob,Nintendo,0.02,0.44,0.09,0.57
Transformers: The Game,1.11,Activision,Traveller's Tales,Play Station ,0,0.63,0.11,0.37
LEGO Marvel Super Heroes 2,1.11,Warner Bros. Interactive Entertainment,Traveller's Tales,Play Station ,0,0.33,0.18,0.6
Castlevania: LorNintendo of Shadow,1.11,Konami,Mercury Steam,Play Station ,0.1,0.5,0.15,0.37
Red Dead Redemption: Undead Nightmare,1.11,Rockstar Games,Rockstar San Diego,X box,0.02,0.61,0.1,0.38
EA Sports UFC,1.11,Electronic Arts,EA Canada,Play Station ,0.01,0.49,0.18,0.43
FIFA 18,1.1,EA Sports,EA Vancouver,Nintendo,0.13,0.35,0.07,0.55
GRID,1.1,Codemasters,Codemasters,Play Station ,0.03,0.31,0.19,0.57
NBA Live 2001,1.1,EA Sports,EA Canada,Play Station ,0.04,0.52,0.13,0.4
Medal of Honor: Airborne,1.1,Electronic Arts,EA Los Angeles,X box,0.01,0.45,0.12,0.52
Untold LegenNintendo: Brotherhood of the Blade,1.09,Sony Online Entertainment,Sony Online Entertainment,Play Station,0.01,0.54,0.22,0.33
Lightning Returns: Final Fantasy XIII,1.09,Square Enix,Unknown,Play Station ,0.45,0.31,0.11,0.22
WWE SmackDown vs. Raw 2011,1.09,THQ,JAKKS Pacific,Play Station ,0.01,0.44,0.18,0.46
Bully: Scholarship Edition,1.09,Rockstar Games,Rockstar Vancouver/Mad Doc Software,X box,0.03,0.53,0.11,0.42
The Godfather,1.09,Electronic Arts,Headgate,Play Station ,0.01,0.89,0.15,0.03
Alien: Isolation,1.09,Sega,Creative Assembly,Play Station ,0.05,0.29,0.16,0.59
Virtua Fighter,1.07,Sega,Sega-AM2,SAT,0.77,0.17,0.02,0.12
MySims Agents,1.07,Electronic Arts,EA Redwood Shores,Nintendo,0,0.54,0.11,0.42
Pro Evolution Soccer 2008,1.07,Konami,Konami,X box,0.04,0.08,0.05,0.9
Tomb Raider: Underworld,1.07,Eidos Interactive,Crystal Dynamics,X box,0.01,0.53,0.11,0.42
Skate 2,1.09,Electronic Arts,EA Black Box,X box,0.01,0.82,0.09,0.17
Naruto: Ultimate Ninja Storm,1.07,Namco Bandai,CyberConnect2,Play Station ,0.09,0.49,0.15,0.34
Ridge Racer Revolution,1.07,Namco,Namco,Play Station ,0.71,0.17,0.07,0.12
Dante's Inferno,1.08,Electronic Arts,Visceral Games,Play Station ,0.04,0.64,0.12,0.28
Virtua Fighter 5,1.08,Sega,Sega-AM2,Play Station ,0.08,0.29,0.2,0.52
Pro Evolution Soccer 2014,1.08,Konami Digital Entertainment,Konami,Play Station ,0.51,0.03,0.08,0.46
Spore Creatures,1.07,Electronic Arts,Foundation 9,Nintendo,0,0.66,0.1,0.3
DiRT 3,1.06,Codemasters,Codemasters,Play Station ,0.01,0.27,0.2,0.58
Endless Ocean,1.06,Nintendo,Arika,Wii,0.09,0.43,0.09,0.46
Sonic Generations,1.06,Sega,Sonic Team,Nintendo,0.01,0.44,0.08,0.52
Grand Theft Auto: Chinatown Wars,1.08,Rockstar Games,Rockstar LeeNintendo,Play Station,0.03,0.28,0.27,0.5
Darksiders,1.06,THQ,Vigil Games,X box,0.01,0.67,0.1,0.28
Star Fox: Assault,1.08,Nintendo,Namco,GC,0.19,0.68,0.03,0.18
Mercenaries 2: World in Flames,1.06,Electronic Arts,Pandemic Studios,X box,0.01,0.65,0.1,0.3
Call of Duty 4: Modern Warfare,1.05,Activision,n-Space,Nintendo,0.01,0.95,0.08,0.02
Marvel vs. Capcom 3: Fate of Two WorlNintendo,1.07,Capcom,Capcom,X box,0.03,0.79,0.08,0.18
Resident Evil: The Darkside Chronicles,1.05,Capcom,"Cavia, inc.",Wii,0.2,0.46,0.09,0.31
UFC Undisputed 3,1.05,THQ,Yukie's Osaka,Play Station ,0.03,0.55,0.14,0.33
Prince of Persia,1.07,Ubisoft,Ubisoft Montreal,Play Station ,0.03,0.47,0.17,0.41
MySims Agents,1.05,Electronic Arts,EA Redwood Shores,Wii,0,0.63,0.1,0.32
Lego Marvel Super Heroes: Universe in Peril,1.05,Warner Bros. Interactive Entertainment,TT Fusion,Nintendo,0.04,0.42,0.08,0.5
Virtua Tennis 3,1.05,Sega,Sega-AM3,Play Station ,0.03,0.23,0.21,0.58
The Evil Within 2,1.05,Bethesda Softworks,Tango Gameworks,Play Station ,0.09,0.31,0.15,0.49
Rocksmith 2014,1.05,Ubisoft,Ubisoft San Francisco,Play Station ,0.05,0.56,0.17,0.26
WWE SmackDown vs. Raw 2010,1.04,THQ,JAKKS Pacific,X box,0.01,0.56,0.1,0.37
Sleeping Dogs,1.04,Square Enix,United Front Games,Play Station ,0.05,0.31,0.17,0.5
Prey (2017),1.04,Bethesda Softworks,Arkane Studios,Play Station ,0.02,0.25,0.16,0.62
Mega Man X4,1.04,Capcom,Capcom,Play Station ,0.22,0.45,0.07,0.3
Naruto: Clash of Ninja 2,1.04,D3 Publisher,8ing/Raizing,GC,0.45,0.44,0.03,0.12
Bomberman 64,1.04,HuNintendoon Soft,HuNintendoon Soft,Nintendo,0.31,0.5,0.03,0.2
MotorStorm: Arctic Edge,1.04,Sony Computer Entertainment,Bigbig Studios,Play Station,0,0.16,0.3,0.58
Brink,1.04,Bethesda Softworks,Splash Damage,X box,0.01,0.59,0.09,0.35
Tom Clancy's Ghost Recon Advanced Warfighter 2,1.03,Ubisoft,Red Storm Entertainment / Ubisoft Paris,Play Station ,0.02,0.34,0.19,0.48
Disney Fairies: Tinker Bell and the Lost Treasure,1.03,Disney Interactive Studios,Hyde,Nintendo,0.02,0.57,0.1,0.35
FIFA Soccer 08,1.03,EA Sports,EA Canada,Wii,0.01,0.32,0.12,0.59
Sonic Unleashed,1.03,Sega,Sonic Team,Play Station ,0.01,0.56,0.14,0.32
Dragon Ball Z: Budokai Tenkaichi 3,1.03,Atari,Spike / Bandai Namco Games,Wii,0.26,0.32,0.08,0.36
Pokémon Conquest,1.02,Nintendo,Tecmo Koei Games,Nintendo,0.37,0.56,0.05,0.05
Shrek 2,1.02,Activision,"Luxoflux, Inc.",GC,0.01,0.73,0.03,0.26
Bulletstorm,1.02,Electronic Arts,People Can Fly,X box,0.01,0.61,0.08,0.32
Steep,1.01,Ubisoft,Ubisoft Annecy,Play Station ,0.02,0.23,0.15,0.6
F1 2012,1.01,Codemasters,Codemasters Birmingham,Play Station ,0.05,0.12,0.18,0.65
EyePet,1.01,Sony Computer Entertainment,SCEE London Studio,Play Station ,0.04,0.37,0.09,0.52
LEGO Marvel's Avengers,1.01,Warner Bros. Interactive Entertainment,Traveller's Tales,Play Station ,0.01,0.31,0.16,0.53
Prince of Persia,1.01,Ubisoft,Ubisoft Montreal,X box,0.02,0.54,0.1,0.34
NBA 2K10,1.01,2K Sports,Visual Concepts,X box,0,0.91,0.08,0.02
Evolve,1.01,2K Games,Turtle Rock Studios,Play Station ,0.05,0.38,0.16,0.41
Breath of Fire III,1,Capcom,Capcom,Play Station ,0.46,0.29,0.07,0.19
Rayman Origins,1,Ubisoft,Ubisoft,Play Station ,0.01,0.33,0.16,0.5
PES 2009: Pro Evolution Soccer,1,Konami,Konami,X box,0.03,0.13,0.09,0.76
Dead or Alive 2,1,Tecmo,Team Ninja,Play Station ,0.38,0.3,0.08,0.24
UFC Undisputed 3,1,THQ,Yukie's Osaka,X box,0,0.72,0.08,0.2
Excitebike 64,1,Nintendo,Left Field Productions,Nintendo,0.19,0.65,0.01,0.15
SoulCalibur II,1,Namco,Namco,X box,0.03,0.78,0,0.18
Tom Clancy's Splinter Cell: Blacklist,1,Ubisoft,Ubisoft Toronto,X box,0.01,0.57,0.09,0.33
Dynasty Warriors 3: Xtreme LegenNintendo,1,KOEI,Omega Force,Play Station ,0.74,0.13,0.03,0.1
Guitar Hero: Aerosmith,1,Activision,Neversoft,Play Station ,0,0.73,0.11,0.15
Haze,0.99,Ubisoft,Free Radical Design,Play Station ,0.02,0.49,0.15,0.33
Tales of Graces f,0.99,Namco Bandai,Namco Tales Studio,Play Station ,0.45,0.28,0.07,0.19
DiRT 2,0.99,Codemasters,Codemasters,Play Station ,0,0.27,0.19,0.53
The Bouncer,0.99,Square,SquareSoft,Play Station ,0.38,0.3,0.08,0.23
Apollo Justice: Ace Attorney,0.99,Capcom,Capcom,Nintendo,0.64,0.28,0.03,0.05
Rocksmith 2014,0.99,Ubisoft,Ubisoft San Francisco,X box,0,0.73,0.1,0.16
Dragon Age: Inquisition,0.99,Electronic Arts,BioWare Edmonton,X box,0,0.63,0.09,0.27
Army of Two: The 40th Day,0.99,Electronic Arts,EA Montreal,X box,0,0.65,0.09,0.24
PlayStation All-Stars Battle Royale,0.99,Sony Computer Entertainment,SuperBot Entertainment,Play Station ,0.04,0.5,0.16,0.28
Tom Clancy's Splinter Cell: Blacklist,0.98,Ubisoft,Ubisoft Toronto,Play Station ,0.06,0.34,0.15,0.44
The LEGO Movie Videogame,0.98,Warner Bros. Interactive Entertainment,TT Fusion,Play Station ,0.03,0.33,0.16,0.47
Pro Evolution Soccer 2008,0.98,Konami,Konami,Play Station,0.19,0.02,0.25,0.53
Sniper Elite V2,0.98,505 Games,Rebellion Developments,Play Station ,0.06,0.38,0.15,0.4
Zoo Tycoon Nintendo,0.98,THQ,Blue Fang Games,Nintendo,0.01,0.86,0.07,0.03
Mario Party Advance,0.98,Nintendo,HuNintendoon Soft,GBA,0.28,0.5,0.02,0.19
Tetris 2,0.98,Nintendo,Nintendo,Nintendo,0.21,0.62,0.02,0.13
Suikoden III,0.98,Konami,KCET,Play Station ,0.38,0.29,0.08,0.23
Fire Emblem: The Blazing Blade,0.97,Nintendo,Intelligent Systems,GBA,0.29,0.49,0.01,0.18
EA Sports UFC 3,0.97,EA Sports,EA Vancouver,Play Station ,0.01,0.4,0.16,0.41
Grand Theft Auto: Vice City Stories,0.97,Rockstar Games,Rockstar LeeNintendo,Play Station ,0.03,0.78,0.13,0.03
Dark Cloud 2,0.96,Sony Computer Entertainment,Level 5,Play Station ,0.26,0.38,0.07,0.25
Tom Clancy's Ghost Recon: Future Soldier,0.96,Ubisoft,Ubisoft Paris,Play Station ,0.09,0.41,0.13,0.33
Star Soldier,0.96,Taxan,HuNintendoon Soft,Nintendo,0.57,0.32,0.01,0.06
PilotWings Resort,0.96,Nintendo,Monster Games,Nintendo,0.13,0.4,0.07,0.36
Shinobi,0.96,Sega,Overworks,Play Station ,0.22,0.36,0.09,0.28
Harvest Moon 3D: A New Beginning,0.95,Natsume,Marvelous,Nintendo,0.31,0.41,0.06,0.18
Sonic Unleashed,0.95,Sega,Sonic Team,X box,0,0.54,0.09,0.32
Mega Man Star Force Dragon / Leo / Pegasus,0.95,Capcom,Capcom,Nintendo,0.53,0.39,0.03,0
Wild ARMs,0.95,Sony Computer Entertainment,Media.Vision,Play Station ,0.46,0.26,0.06,0.17
Kessen,0.95,Electronic Arts,Koei,Play Station ,0.41,0.27,0.07,0.21
Lost Planet 2,0.95,Capcom,Capcom,Play Station ,0.2,0.29,0.12,0.34
Driver: San Francisco,0.95,Ubisoft,Ubisoft Reflections,Play Station ,0.01,0.24,0.17,0.53
White Knight Chronicles: International Edition,0.95,Sony Computer Entertainment,Level 5,Play Station ,0.36,0.34,0.09,0.16
Colin McRae Rally 04,0.94,Codemasters,Codemasters,Play Station ,0.01,0.01,0.21,0.71
WWE SmackDown vs. Raw 2009,0.94,THQ,Yuke's Media Creations,Play Station ,0.01,0.51,0.12,0.3
SaGa Frontier 2,0.94,Square EA,SquareSoft,Play Station ,0.71,0.1,0.06,0.07
Kingdom Hearts Re:coded,0.93,Square Enix,High Horse Entertainment,Nintendo,0.27,0.53,0.05,0.09
Mega Man 4,0.93,Capcom,Capcom,Nintendo,0.32,0.51,0.01,0.09
Bayonetta,0.93,Sega,PlatinumGames,X box,0.09,0.51,0.08,0.25
Operation Flashpoint: Dragon Rising,0.93,Codemasters,Codemasters,X box,0.02,0.36,0.1,0.45
Phoenix Wright: Ace Attorney,0.93,Capcom,Capcom,Nintendo,0.39,0.44,0.05,0.05
Dante's Inferno,0.92,Electronic Arts,Visceral Games,X box,0.02,0.63,0.08,0.2
Balloon Fight,0.92,Nintendo,Nintendo R&D1,Nintendo,0.43,0.39,0.01,0.09
SSX,0.92,EA Sports,EA Canada,Play Station ,0.02,0.35,0.13,0.42
Xenoblade Chronicles,0.92,Nintendo,Monolith Soft,Wii,0.16,0.43,0.07,0.25
Crysis 3,0.92,Electronic Arts,Crytek,X box,0.01,0.51,0.08,0.32
Killzone: Mercenary,0.92,Sony Computer Entertainment America,Guerrilla Games,Play Station,0.04,0.2,0.2,0.47
Tobal No.1,0.92,Sony Computer Entertainment,DreamFactory,Play Station ,0.66,0.12,0.06,0.08
Blue Dragon,0.92,Microsoft Game Studios,Mistwalker Corporation / Artoon,X box,0.21,0.3,0.08,0.33
EA Sports Grand Slam Tennis,0.92,EA Sports,EA Vancouver,Wii,0.02,0.28,0.11,0.51
Dynasty Warriors 7,0.91,Tecmo Koei,Omega Force,Play Station ,0.46,0.25,0.06,0.14
Crysis 3,0.91,Electronic Arts,Crytek,Play Station ,0.03,0.26,0.14,0.48
Tom Clancy's EndWar,0.91,Ubisoft,Ubisoft Shanghai,X box,0.01,0.58,0.09,0.24
Tokyo Xtreme Racer 3,0.91,Crave Entertainment,Genki,Play Station ,0.21,0.35,0.09,0.27
Sonic Riders: Zero Gravity,0.91,Sega,Sonic Team,Wii,0.02,0.48,0.09,0.32
Colin McRae Rally 2.0,0.91,Codemasters,Codemasters,Play Station ,0.02,0.02,0.07,0.8
Operation Flashpoint: Dragon Rising,0.91,Codemasters,Codemasters,Play Station ,0.05,0.23,0.17,0.46
The Witcher 2: Assassins of Kings,0.9,Warner Bros. Interactive,CD Projekt Red Studio,X box,0.02,0.48,0.08,0.33
Homefront,0.9,THQ,Kaos Studios,Play Station ,0.04,0.32,0.15,0.4
Lost Odyssey,0.9,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,X box,0.11,0.45,0.08,0.26
SOCOM 4: U.S. Navy SEALs,0.9,Sony Computer Entertainment,Zipper Interactive,Play Station ,0.04,0.66,0.09,0.12
Hot Shots Tennis,0.9,Sony Computer Entertainment,Clap Hanz,Play Station ,0.55,0.17,0.05,0.13
Resistance: Retribution,0.9,Sony Computer Entertainment,SCEA Bend Studio,Play Station,0.05,0.27,0.22,0.36
Final Fantasy X / X-2 HD Remaster,0.9,Square Enix,Square Enix,Play Station ,0.07,0.34,0.14,0.36
Sonic Heroes,0.9,Sega,Sonic Team,X box,0.01,0.41,0.05,0.43
Spider-Man 3,0.9,Activision,Vicarious Visions,Play Station ,0.01,0.74,0.12,0.03
Pure,0.89,Disney Interactive Studios,Black Rock Studio,Play Station ,0,0.42,0.14,0.33
Ni no Kuni II: Revenant Kingdom,0.89,Namco Bandai Games,Level 5,Play Station ,0.12,0.33,0.13,0.31
Classic NES Series: The Legend of Zelda,0.89,Nintendo,Nintendo,GBA,0.24,0.46,0.02,0.17
Fire Emblem: The Sacred Stones,0.89,Nintendo,Intelligent Systems,GBA,0.3,0.42,0.02,0.16
God of War III Remastered,0.89,Sony Computer Entertainment,SCEA Santa Monica Studio,Play Station ,0.02,0.4,0.15,0.33
Dissidia 012: Duodecim Final Fantasy,0.89,Square Enix,Square Enix,Play Station,0.46,0.21,0.09,0.13
Resident Evil: Revelations,0.89,Capcom,Capcom,Nintendo,0.3,0.3,0.05,0.23
FIFA Soccer 09 All-Play,0.89,Electronic Arts,EA Canada,Wii,0,0.28,0.09,0.52
Samba De Amigo,0.89,Sega,Gearbox Software,Wii,0.01,0.41,0.09,0.37
Mega Man 8 Anniversary Collector's Edition,0.88,Capcom,Capcom,Play Station ,0.09,0.44,0.06,0.3
F1 2010,0.88,Codemasters,Codemasters Birmingham,X box,0.01,0.18,0.1,0.59
Call of Juarez: Bound in Blood,0.88,Ubisoft,Techland,Play Station ,0.01,0.35,0.15,0.38
The Lord of the Rings: War in the North,0.88,Warner Bros. Interactive,Snowblind Studios,X box,0,0.55,0.08,0.24
Star Wars: The Force Unleashed,0.88,LucasArts,n-Space,Nintendo,0,0.5,0.09,0.29
LittleBigPlanet Karting,0.88,Sony Computer Entertainment,United Front Games,Play Station ,0.01,0.42,0.14,0.31
Monster 4x4: World Circuit,0.88,Ubisoft,Ubisoft Montreal,Wii,0.01,0.8,0.07,0
Sonic Chronicles: The Dark Brotherhood,0.88,Sega,BioWare Corp.,Nintendo,0.01,0.5,0.08,0.29
WWE SmackDown vs. Raw 2011,0.88,THQ,JAKKS Pacific,X box,0,0.44,0.08,0.35
Metal Gear Ac!d,0.87,Konami,Konami,Play Station,0.12,0.32,0.17,0.26
Michael Jackson: The Experience,0.87,Ubisoft,Ubisoft Montreal,X box,0,0.62,0.07,0.18
Sleeping Dogs,0.87,Square Enix,United Front Games,X box,0.01,0.38,0.08,0.4
Kingdoms of Amalur: Reckoning,0.87,Electronic Arts,38 Studios,X box,0.01,0.55,0.07,0.24
Need for Speed: V-Rally,0.87,Electronic Arts,Infogrames,Play Station ,0.09,0.43,0.06,0.29
Final Fantasy XIV Online,0.87,Square Enix,Square Enix,Play Station ,0.28,0.39,0.11,0.09
Super Bomberman R,0.87,Konami Digital Entertainment,HexaDrive,Nintendo,0.19,0.31,0.06,0.32
