title,total_sales,Publisher,Developer,Platform,Japan_sales,Na_sales,Other_sales,Pal_sales
Forza Motorsport 3,5.5,Microsoft Game Studios,Turn 10 Studios,X box,0.1,2.99,0.51,1.9
Crash Bandicoot: The Wrath of Cortex,5.42,Universal Interactive,Traveller's Tales,Play Station ,0.24,2.07,0.82,2.29
Final Fantasy XIII,5.35,Square Enix,Square Enix,Play Station ,1.87,1.75,0.51,1.23
Assassin's Creed III,5.31,Ubisoft,Ubisoft Montreal,X box,0.03,3.13,0.45,1.71
Assassin's Creed II,5.3,Ubisoft,Ubisoft Montreal,X box,0.08,3.14,0.52,1.55
Tomb Raider II,5.24,Eidos Interactive,Core Design Ltd.,Play Station ,0.2,2.3,0.28,2.46
Madden NFL 2004,5.23,EA Sports,EA Tiburon,Play Station ,0.01,4.26,0.71,0.26
Call of Duty: Advanced Warfare,5.22,Activision,Sledgehammer Games,X box,0.01,3.25,0.48,1.49
Medal of Honor: Rising Sun,5.13,Electronic Arts,EA Los Angeles,Play Station ,0.13,1.98,0.8,2.23
Battlefield 1,5.13,Electronic Arts,EA DICE,X box,0.02,3.37,0.48,1.26
FIFA 13,5.11,EA Sports,EA Canada,X box,0.03,1.1,0.5,3.49
Resident Evil 5,5.1,Capcom,Capcom,Play Station ,1.08,1.96,0.64,1.42
Fable III,5.1,Microsoft Game Studios,Lionhead Studios,X box,0.05,3.59,0.37,1.09
Mario & Sonic at the Olympic Games,5.1,Sega,Sega,Nintendo,0.44,1.63,0.57,2.46
Grand Theft Auto: Vice City Stories,5.08,Rockstar Games,Rockstar LeeNintendo,Play Station,0.16,1.7,1.19,2.03
FIFA Soccer 11,5.08,EA Sports,EA Canada,Play Station ,0.06,0.61,1.12,3.28
Final Fantasy XV,5.07,Square Enix,Square Enix,Play Station ,1.05,1.81,0.68,1.53
Fallout 4,5.03,Bethesda Softworks,Bethesda Game Studios,X box,0.02,2.94,0.45,1.62
Tony Hawk's Pro Skater,5.02,Activision,Neversoft Entertainment,Play Station ,0.02,3.42,0.2,1.38
Guitar Hero III: LegenNintendo of Rock,4.98,RedOctane,BudCat Creations,Play Station ,0.01,3.49,1.48,0.01
Uncharted: Drake's Fortune,4.97,Sony Computer Entertainment,Naughty Dog,Play Station ,0.12,2.32,0.8,1.73
Fallout 3,4.96,Bethesda Softworks,Bethesda Game Studios,X box,0.09,3.41,0.46,0.99
Madden NFL 06,4.91,EA Sports,EA Tiburon,Play Station ,0.01,3.98,0.66,0.26
Crash Bandicoot N. Sane Trilogy,4.83,Activision,Vicarious Visions,Play Station ,0.07,1.09,0.74,2.92
Assassin's Creed,4.83,Ubisoft,Ubisoft Montreal,Play Station ,0.09,1.91,0.82,2.01
Crash Team Racing,4.79,Sony Computer Entertainment,Naughty Dog,Play Station ,0.44,2.57,0.21,1.57
Batman: Arkham City,4.75,Warner Bros. Interactive,Rocksteady Studios,X box,0.04,2.99,0.44,1.28
Driver 2,4.73,Atari,Reflections Interactive,Play Station ,0.02,2.36,0.25,2.1
Tony Hawk's Pro Skater 2,4.68,Activision,Neversoft Entertainment,Play Station ,0.02,3.05,0.2,1.41
The Lord of the Rings: The Two Towers,4.67,Electronic Arts,Stormfront Studios,Play Station ,0.08,1.94,0.7,1.95
Tomb Raider,4.63,Eidos Interactive,Core Design Ltd.,Play Station ,0.13,2.29,0.24,1.97
Forza Motorsport 4,4.6,Microsoft Studios,Turn 10 Studio,X box,0.06,2.08,0.49,1.98
Guitar Hero III: LegenNintendo of Rock,4.6,RedOctane,Vicarious Visions,Wii,0,3.04,0.44,1.12
FIFA 15,4.56,EA Sports,EA Canada,Play Station ,0.04,0.59,0.68,3.25
Mario & Sonic at the Olympic Winter Games,4.54,Sega,Sega,Wii,0.22,1.87,0.48,1.97
Overwatch,4.54,Blizzard Entertainment,Blizzard Entertainment,Play Station ,0.17,1.84,0.73,1.8
Madden NFL 2005,4.53,EA Sports,EA Tiburon,Play Station ,0.01,4.18,0.08,0.26
Guitar Hero III: LegenNintendo of Rock,4.53,RedOctane,Neversoft,X box,0.01,3.19,0.42,0.91
Star Wars Battlefront II (2017),4.53,Electronic Arts,EA DICE,Play Station ,0.12,1.7,0.73,1.99
Spider-Man: The Movie,4.48,Activision,Treyarch,Play Station ,0.03,2.71,0.23,1.51
The Elder Scrolls IV: Oblivion,4.47,Take-Two Interactive,Bethesda Softworks,X box,0.13,2.89,0.41,1.03
Tony Hawk's Pro Skater 3,4.41,Activision,Neversoft Entertainment,Play Station ,0.01,2.66,0.46,1.29
Winning Eleven: Pro Evolution Soccer 2007,4.39,Konami,Konami Computer Entertainment Tokyo,Play Station ,1.05,0.1,0.86,2.39
Michael Jackson: The Experience,4.37,Ubisoft,Ubisoft Montpellier,Wii,0.01,2.64,0.39,1.33
Tom Clancy's The Division,4.37,Ubisoft,Massive Entertainment,Play Station ,0.16,1.49,0.69,2.04
Need for Speed: Most Wanted,4.37,Electronic Arts,EA Canada,Play Station ,0.08,2.03,0.47,1.79
Tom Clancy's Rainbow Six: Siege,4.36,Ubisoft,Ubisoft Montreal,Play Station ,0.36,1.29,0.64,2.06
Call of Duty: Advanced Warfare,4.34,Activision,High Moon Studios,X box,0,2.81,0.41,1.13
Watch Dogs,4.32,Ubisoft,Ubisoft Montreal,Play Station ,0.11,1.4,0.68,2.13
Batman: Arkham Asylum,4.28,Eidos Interactive,Rocksteady Studios,Play Station ,0.07,2.26,0.63,1.33
Call of Duty: Advanced Warfare,4.27,Activision,High Moon Studios,Play Station ,0.2,1.59,0.67,1.81
Namco Museum,4.24,Namco,Mass Media,GBA,0.05,3,0.07,1.11
Destiny 2,4.14,Activision,Bungie,Play Station ,0.1,1.92,0.69,1.44
Assassin's Creed: Revelations,4.23,Ubisoft,Ubisoft Montreal,Play Station ,0.1,1.41,0.69,2.03
Assassin's Creed: Revelations,4.22,Ubisoft,Ubisoft Montreal,X box,0.04,2.28,0.44,1.47
FIFA Soccer 06,4.21,EA Sports,EA Canada,Play Station ,0.04,0.78,0.84,2.55
Street Fighter IV,4.19,Capcom,Capcom / Dimps Corporation,Play Station ,0.59,2.04,0.52,1.05
FIFA Soccer 12,4.18,EA Sports,EA Canada,X box,0.02,0.85,0.52,2.79
Batman: Arkham Knight,4.11,Warner Bros. Interactive,Rocksteady Studios,Play Station ,0.11,1.65,0.66,1.68
FIFA 07 Soccer,4.11,EA Sports,Team Fusion,Play Station ,0.03,0.71,0.89,2.48
Call of Duty: Ghosts,4.17,Activision,Infinity Ward,Play Station ,0.05,1.79,0.69,1.64
Teenage Mutant Ninja Turtles,4.17,Ultra Games,Konami,Nintendo,0.31,3.38,0.04,0.44
Star Wars Battlefront (2015),4.15,Electronic Arts,EA DICE,X box,0.02,2.49,0.38,1.26
FIFA 14,4.15,EA Sports,EA Canada,X box,0.01,0.94,0.29,2.92
Madden NFL 2003,4.14,EA Sports,EA Tiburon,Play Station ,0.01,3.36,0.56,0.21
Assassin's Creed: Unity,4.14,Ubisoft,Ubisoft Montreal,Play Station ,0.09,1.25,0.65,2.16
Fallout: New Vegas,4.08,Bethesda Softworks,Obsidian Entertainment,X box,0.04,2.67,0.34,1.03
Assassin's Creed Origins,4.06,Ubisoft,Ubisoft Montreal,Play Station ,0.11,1.22,0.63,2.11
Far Cry 4,4.06,Ubisoft,Ubisoft Montreal,Play Station ,0.11,1.18,0.63,2.14
Carnival Games,4.06,Global Star Software,Cat Daddy Games,Wii,0.05,2.12,0.42,1.47
World Soccer Winning Eleven 9,4.06,Konami,Konami Computer Entertainment Tokyo,Play Station ,0.9,0.12,0.77,2.26
Forza Motorsport 2,4.05,Microsoft Game Studios,Turn 10 Studios,X box,0.03,2.35,0.41,1.27
Namco Museum Vol.3,4.05,Namco,Namco,Play Station ,0.16,2.28,0.06,1.55
Tekken Tag Tournament,4.05,Namco,Namco,Play Station ,0.51,1.68,0.35,1.51
Fallout 3,4,Bethesda Softworks,Bethesda Game Studios,Play Station ,0.07,2.18,0.61,1.15
NBA 2K16,3.98,2K Sports,Visual Concepts,Play Station ,0.05,2.56,0.71,0.66
Far Cry 5,3.95,Ubisoft,Ubisoft,Play Station ,0.15,1.44,0.62,1.73
Battlefield 4,3.94,Electronic Arts,EA DICE,Play Station ,0.19,1.4,0.62,1.74
Assassin's Creed IV: Black Flag,3.94,Ubisoft,Ubisoft Montreal,Play Station ,0.13,1.34,0.62,1.86
Tony Hawk's Underground,3.9,Activision,Neversoft Entertainment,Play Station ,0.01,2.29,0.42,1.17
Sports Champions,3.88,Sony Computer Entertainment,SCE San Diego Studio,Play Station ,0.1,2.15,0.5,1.13
World Soccer Winning Eleven 8 International,3.85,Konami,Konami Computer Entertainment Tokyo,Play Station ,1.12,0.16,0.68,1.89
Namco Museum Vol.1,3.84,Namco,Namco,Play Station ,0.22,2.12,0.06,1.44
Gran Turismo Sport,3.77,Sony Interactive Entertainment,Polyphony Digital,Play Station ,0.24,0.63,0.54,2.35
Ratchet & Clank: Size Matters,3.75,Sony Computer Entertainment,High Impact Games,Play Station,0.1,1.4,0.86,1.4
FIFA Soccer 2005,3.7,EA Sports,EA Canada,Play Station ,0.04,0.58,0.59,2.48
Tony Hawk's Pro Skater 4,3.67,Activision,Neversoft Entertainment,Play Station ,0.01,2.13,0.35,1.18
MySims,3.66,Electronic Arts,EA Redwood Shores,Nintendo,0.08,1.58,0.4,1.6
SOCOM: U.S. Navy SEALs,3.65,Sony Computer Entertainment,Zipper Interactive,Play Station ,0.06,2.53,0.24,0.81
Battlefield 4,3.64,Electronic Arts,EA DICE,Play Station ,0.27,1.31,0.55,1.5
Jak and Daxter: The Precursor Legacy,3.64,Sony Computer Entertainment,Naughty Dog,Play Station ,0.15,2.08,0.33,1.09
Pro Evolution Soccer 2008,3.63,Konami,Konami,Play Station ,0.64,0.05,2.93,0
FIFA Soccer 10,3.63,EA Sports,EA Canada,Play Station ,0.05,0.6,0.52,2.46
Star Wars Battlefront,3.61,LucasArts,Pandemic Studios,Play Station ,0.03,1.93,0.44,1.22
Assassin's Creed Syndicate,3.6,Ubisoft,Ubisoft Quebec,Play Station ,0.08,0.9,0.55,2.06
Star Wars Battlefront II,3.59,LucasArts,Pandemic Studios,Play Station ,0.03,2.18,0.37,1.02
Assassin's Creed: Unity,3.58,Ubisoft,Ubisoft Montreal,X box,0,2.34,0.34,0.9
Cooking Mama 2: Dinner With FrienNintendo,3.58,Majesco,Office Create,Nintendo,0.1,1.6,0.39,1.49
WWF SmackDown!,3.58,THQ,Yuke's,Play Station ,0.06,2.01,0.16,1.35
Battlefield 4,3.54,Electronic Arts,EA DICE,X box,0.02,2.16,0.32,1.05
Grand Theft Auto: Liberty City Stories,3.54,Rockstar Games,Rockstar LeeNintendo,Play Station ,0.07,1.56,0.5,1.4
The Getaway,3.54,Sony Computer Entertainment,Team Soho,Play Station ,0.05,1.23,0.49,1.77
Tomb Raider III: Adventures of Lara Croft,3.54,Eidos Interactive,Core Design Ltd.,Play Station ,0.12,1.66,0.18,1.58
Batman: Arkham Asylum,3.54,Eidos Interactive,Rocksteady Studios,X box,0.02,2.24,0.33,0.95
Assassin's Creed: Brotherhood,3.53,Ubisoft,Ubisoft Montreal,X box,0.03,2.87,0.25,0.39
James Bond 007: Agent Under Fire,3.53,Electronic Arts,EA Redwood Shores,Play Station ,0.1,1.9,0.41,1.13
LEGO Star Wars: The Video Game,3.53,Eidos Interactive,Traveller's Tales,Play Station ,0.01,1.98,0.41,1.14
Resident Evil 5,3.53,Capcom,Capcom,X box,0.12,2.13,0.34,0.93
NBA 2K17,3.52,2K Sports,Visual Concepts,Play Station ,0.03,2.28,0.63,0.59
FIFA Soccer 11,3.52,EA Sports,EA Canada,X box,0.02,0.71,0.4,2.39
FIFA Soccer 2004,3.49,EA Sports,EA Canada,Play Station ,0.04,0.59,0.51,2.36
Battlefield: Bad Company 2,3.48,Electronic Arts,EA Digital Illusions CE,X box,0.04,2.11,0.33,1.01
BorderlanNintendo,3.48,2K Games,Gearbox Software,X box,0.03,2.43,0.3,0.72
Mario & Sonic at the Olympic Winter Games,3.47,Sega,Sega,Nintendo,0.27,1.21,0.37,1.63
Guitar Hero: On Tour,3.46,Activision,Vicarious Visions,Nintendo,0.01,2.1,0.35,1.01
Halo: The Master Chief Collection,3.44,Microsoft Studios,343 Industries,X box,0.03,2.06,0.31,1.04
Tekken 4,3.44,Namco,Namco,Play Station ,0.33,1.55,0.29,1.27
FIFA 14,3.43,EA Sports,EA Canada,Play Station ,0.12,0.62,0.51,2.18
LittleBigPlanet 2,3.43,Sony Computer Entertainment,Media Molecule,Play Station ,0.06,1.83,0.47,1.07
Spider-Man 2,3.41,Activision,Treyarch,Play Station ,0.02,1.75,0.43,1.2
FIFA Soccer 2003,3.4,EA Sports,EA Canada,Play Station ,0.05,0.46,0.61,2.28
Crash Bash,3.39,Sony Computer Entertainment,Eurocom Entertainment Software,Play Station ,0.19,1.56,0.17,1.47
The Elder Scrolls V: Skyrim Special Edition,3.36,Bethesda Softworks,Bethesda Softworks,Play Station ,0.08,1.24,0.54,1.5
Watch Dogs 2,3.36,Ubisoft,Ubisoft,Play Station ,0.12,0.98,0.52,1.74
Assassin's Creed IV: Black Flag,3.34,Ubisoft,Ubisoft Montreal,X box,0.01,1.9,0.3,1.14
NBA 2K18,3.34,2K Sports,Visual Concepts,Play Station ,0.04,2.13,0.59,0.57
James Bond 007: Nightfire,3.33,Electronic Arts,Eurocom Entertainment Software,Play Station ,0.12,1.45,0.46,1.29
Star Wars Episode III: Revenge of the Sith,3.32,LucasArts,The Collective,Play Station ,0.03,1.47,0.43,1.39
Max Payne,3.31,Rockstar Games,Remedy Entertainment,Play Station ,0.05,1.99,0.22,1.05
The Lord of the Rings: The Return of the King,3.28,Electronic Arts,"Hypnos Entertainment, Inc.",Play Station ,0.05,1.5,0.46,1.28
True Crime: Streets of LA,3.27,Activision,Luxoflux,Play Station ,0.02,1.89,0.31,1.05
Gran Turismo (PSP),3.27,Sony Computer Entertainment,Polyphony Digital,Play Station,0.31,0.51,0.86,1.59
Far Cry 3,3.27,Ubisoft,Ubisoft Montreal,Play Station ,0.1,0.88,0.5,1.79
L.A. Noire,3.21,Rockstar Games,Team Bondi,Play Station ,0.12,1.29,0.49,1.31
WWF SmackDown! 2: Know Your Role,3.2,THQ,Yuke's,Play Station ,0.07,1.76,0.16,1.21
Assassin's Creed IV: Black Flag,3.19,Ubisoft,Ubisoft Montreal,Play Station ,0.06,1.07,0.51,1.55
Enter the Matrix,3.18,Atari,Shiny Entertainment,Play Station ,0.09,1.78,0.19,1.12
Assassin's Creed Odyssey,3.18,Ubisoft,Ubisoft Quebec,Play Station ,0.09,1.18,0.51,1.4
Fallout: New Vegas,3.17,Bethesda Softworks,Obsidian Entertainment,Play Station ,0.1,1.54,0.49,1.04
Spider-Man,3.13,Activision,Neversoft Entertainment,Play Station ,0.02,1.7,0.16,1.25
The Elder Scrolls IV: Oblivion,3.12,Bethesda Softworks,4J Studios,Play Station ,0.14,1.69,0.44,0.86
Resident Evil 6,3.12,Capcom,Capcom,Play Station ,0.88,0.88,0.39,0.97
Tom Clancy's Ghost Recon WildlanNintendo,3.12,Ubisoft,Ubisoft Paris,Play Station ,0.22,1.07,0.47,1.35
NBA 2K13,3.11,2K Sports,Visual Concepts,X box,0.01,2.62,0.28,0.21
Titanfall,3.11,Electronic Arts,Respawn Entertainment,X box,0.04,1.88,0.28,0.91
Mass Effect 2,3.1,Electronic Arts,BioWare Edmonton,X box,0.03,1.99,0.27,0.81
Madden NFL 2002,3.08,EA Sports,EA Sports,Play Station ,0.01,2.5,0.42,0.16
Saints Row 2,3.07,THQ,Volition Inc.,X box,0.02,1.98,0.28,0.79
BorderlanNintendo 2,3.06,2K Games,Gearbox Software,X box,0.04,1.89,0.26,0.88
Mass Effect 3,3.04,Electronic Arts,BioWare,X box,0.03,1.94,0.24,0.84
Metal Gear Solid V: The Phantom Pain,3.04,Konami Digital Entertainment,Kojima Productions,Play Station ,0.5,0.97,0.42,1.15
World Soccer Winning Eleven 6 International,2.99,Konami,Konami Computer Entertainment Tokyo,Play Station ,1.16,0.12,0.45,1.26
Far Cry 3,2.98,Ubisoft,Ubisoft Montreal,X box,0.02,1.38,0.25,1.33
Battlefield: Bad Company 2,2.96,Electronic Arts,EA Digital Illusions CE,Play Station ,0.08,1.33,0.44,1.11
Hitman 2: Silent Assassin,2.96,Eidos Interactive,IO Interactive,Play Station ,0.04,1.36,0.41,1.15
Street Fighter IV,2.95,Capcom,Capcom / Dimps Corporation,X box,0.15,1.83,0.26,0.7
WWE SmackDown! vs. RAW 2006,2.94,THQ,Yuke's,Play Station ,0.04,1.45,0.33,1.11
Pac-Man Collection,2.94,Namco,Mass Media,GBA,0.05,2.07,0.05,0.77
Doom (2016),2.92,Bethesda Softworks,id Software,Play Station ,0.04,0.93,0.46,1.48
